-15.15946  -3.61279
-15.07915  -3.66330
-15.02584  -3.74905
-14.91980  -3.83682
-14.86706  -3.92663
-14.81451  -4.01855
-14.73602  -4.09364
-14.65796  -4.17012
-14.52876  -4.22842
-14.42623  -4.26774
-14.32442  -4.28754
-14.19816  -4.32741
-14.07302  -4.32741
-13.94899  -4.30743
-13.80158  -4.28754
-13.67994  -4.30743
-13.55936  -4.30743
-13.41608  -4.30743
-13.27431  -4.28754
-13.20398  -4.28754
-13.11080  -4.28754
-12.94930  -4.30743
-12.83517  -4.28754
-12.67707  -4.26774
-12.52092  -4.26774
-12.41056  -4.28754
-12.32298  -4.28754
-12.19276  -4.26774
-12.10671  -4.28754
-12.02127  -4.28754
-11.93643  -4.28754
-11.83122  -4.28754
-11.74772  -4.28754
-11.64418  -4.28754
-11.56200  -4.28754
-11.46010  -4.28754
-11.33900  -4.26774
-11.25897  -4.26774
-11.14000  -4.24804
-11.00278  -4.22842
-10.92513  -4.24804
-10.82883  -4.20890
-10.69545  -4.18947
-10.54502  -4.17012
-10.41513  -4.15087
-10.25048  -4.11263
-10.12421  -4.05592
-9.99951  -4.01855
-9.85887  -4.00000
-9.78929  -3.94485
-9.65160  -3.90850
-9.51586  -3.87249
-9.39864  -3.81910
-9.28287  -3.78392
-9.15231  -3.73174
-9.08772  -3.66330
-8.97578  -3.62955
