0.00104   5.67e-12
0.00114   2.01e-12
0.00138   4.09e-13
0.00166   1.54e-13
0.00236   5.36e-14
0.00197   8.81e-14
0.00321   2.80e-14
0.00423   1.60e-14
0.00515   1.11e-14
0.00670   6.71e-15
0.00808   4.57e-15
0.0107   2.53e-15
0.0147   1.34e-15
0.0199   7.65e-16
0.0270   4.72e-16
0.0359   3.12e-16
0.0497   1.87e-16
0.0702   1.13e-16
0.0984   6.84e-17
0.135   4.06e-17
0.181   3.12e-17
0.249   3.35e-17
0.343   4.45e-17
0.462   8.16e-17
0.645   1.79e-16
0.858   4.19e-16
1.13   9.07e-16
1.53   2.76e-15
2.05   8.05e-15
2.79   2.56e-14
3.62   7.32e-14
4.74   2.25e-13
6.15   6.24e-13
7.57   1.57e-12
10.4   6.72e-12
8.72   3.03e-12
13.6   1.99e-11
11.9   1.18e-11
16.7   5.03e-11
19.9   1.25e-10
25.2   3.68e-10
33.2   1.45e-9
28.7   6.61e-10
42.5   5.07e-9
54.9   1.91e-8
69.2   6.77e-8
84.1   2.10e-7
96.0   7.94e-7
90.1   3.44e-7
74.8   1.08e-7
63.4   4.08e-8
49.5   1.02e-8
