x, y
0.048421626123015024, 0.000015784473069771985
0.0549740180010373, 0.00001102752055860128
0.06374732160499025 0.000007457038265841859
0.07237357945244569 0.00000472428710979428
0.08216713849118698 0.0000028040619911456213
0.09528019222936615 0.0000018961649136492582
0.11526031178252642 0.0000011254531826155952
0.13365470508911143 7.610547996332626e-7
0.15174079748634928 5.316963963307804e-7
0.17971866168105835 3.4801095907250463e-7
0.2174054070822163 2.4313120804393424e-7
0.2521011362799125 1.5913654009267904e-7
0.2985833709261733 1.0415955481985131e-7
0.36891739544382435 7.767217860446858e-8
0.43693813185600533 4.180603098005381e-8
0.5285634309612144 3.017491238032765e-8
0.5875284094355495 1.9750369327072856e-8
0.7107322736043118 1.4727925983649193e-8
0.7900194712408972 1.1346639493511292e-8
0.9160986796789611 7.672833112592084e-9
1.1082032579150716 5.911278432490282e-9
1.4284190814122661 6.734705108210979e-9
1.7279565125493561 9.031340417093417e-9
2.18063348750633 1.379821821302085e-8
2.6943015082622592 1.911683224834036e-8
3.12428508945378 3.1174917276123215e-8
3.860238814539517 5.2523539173368927e-8
4.769553122913861 9.142436380676773e-8
5.769721566965307 1.5403188118426488e-7
6.413374699344003 2.2778342766727764e-7
7.436885175914823 3.7145952959940133e-7
9.790697855623927 6.465758345318338e-7
12.096985646823898 0.0000010544083817035212
14.946540471107019 0.000002231888869576844
17.33185888424021 0.000004284088236053576
20.966324815543107 0.000007217837157209323
25.905133025281202 0.00001102752055860128
32.00732235913946 0.000018579180272226064
