1.441105090199637e-9   1.5691056055902167e-14
1.3413318340233397e-9   7.405684692262443e-15
1.4580355594343259e-9   2.72133876837532e-15
1.4093985372432833e-9   1.396135390856796e-15
1.4727056128541996e-9   6.061898993497597e-16
1.72566512287316e-9   2.8610255691043823e-16
2.3523264101841414e-9   1.885221217040888e-16
3.7219706733752245e-9   2.421352234995239e-16
4.852777039723943e-9   3.99437905117285e-16
7.665510145912769e-9   6.589319708984772e-16
1.2101807530456576e-8   1.1815817326181093e-15
1.6377635744554093e-8   2.30313205870701e-15
2.3056953959773043e-8   3.799357365039429e-15
3.917375195522779e-8   1.1238921496197277e-14
5.945037376440124e-8   2.3812861947655968e-14
8.032133494783297e-8   5.961592939123819e-14
1.2645394049183862e-7   1.622351398651015e-13
1.7103767622686006e-7   3.437414337286239e-13
2.2250665000449594e-7   7.916819159263018e-13
3.127296667991132e-7   1.6774040264261638e-12
4.2181378931103015e-7   5.393666105371996e-12
5.921936798753861e-7   1.3503140378698776e-11
7.405684692262427e-7   3.674661940736688e-11
8.25404185268019e-7   1e-10
8.19457755905992e-7   2.958111179436431e-10
8.439729015104702e-7   1.1238921496197231e-9
7.759881199849615e-7   3.324597932270945e-9
7.712551333282981e-7   8.323190888192679e-9
