88,56088561000001 -5,828294040058698
88,28413284250001 -5,913523842883547
88,09963099750001 -6,16048212299511
88,09963099750001 -6,0556875383492414
87,73062730750001 -6,242325736916501
87,45387454000002 -6,503015313697398
87,45387454000002 -6,383962993470399
87,08487085000002 -6,633036164464356
86,62361623750002 -6,864593927207542
86,62361623750002 -6,7211577822424
86,43911439250002 -6,983386758708284
86,07011070250002 -7,076162875631029
85,70110701250002 -7,208123792307656
85,60885609000002 -7,332861459848672
85,23985240000002 -7,459757731508028
84,87084871000002 -7,5588625612170075
84,59409594250002 -7,7201761534922655
84,22509225250002 -7,895345572163711
83,76383764000002 -8,031975716078968
83,39483395000002 -8,181761256186915
83,02583026000002 -8,279523739171585
82,84132841500002 -8,45621695271759
82,56457564750002 -8,62528998567608
82,01107011250002 -8,797743453483111
81,64206642250002 -8,902866203676322
81,45756457750002 -8,997362681817691
81,08856088750002 -9,080869511715319
80,99630996500002 -9,201511234805983
80,53505535250002 -9,274664235465634
80,25830258500002 -9,47259473001466
79,79704797250002 -9,636519408090294
79,2435424375 -9,80328082740189
78,782287825 -9,959774702820244
78,22878229000003 -10,118766755478914
77,58302583250003 -10,321080697365018
77,02952029750003 -10,49968855286076
76,568265685 -10,639179657462392
75,92250922750003 -10,823292263358244
75,46125461500003 -10,967082527768595
75,18450184750003 -11,15686954220688
74,72324723500003 -11,320021535687168
73,8929889325 -11,500727777926725
73,15498155250003 -11,68431870955326
72,04797048250003 -11,886517604110386
71,21771218 -12,028547594797312
70,47970480000004 -12,236703422043552
69,64944649750001 -12,382917723906903
68,81918819500001 -12,547428019884041
67,71217712500001 -12,714123878107962
66,97416974500001 -12,8152025258114
65,95940959750001 -12,79830045173057
65,22140221750001 -12,79830045173057
64,39114391500001 -12,764563151013366
63,83763838000001 -12,714123878107962
62,91512915500001 -12,647181417645866
62,084870852500025 -12,613842478282667
61,07011070500001 -12,514352038121388
60,60885609250001 -12,464901476420426
59,594095945000014 -12,399271222834013
59,317343177500014 -12,333986525944862
58,856088565000015 -12,301473192316132
58,118081185000015 -12,236703422043552
57,472324727500016 -12,172274677847728
56,36531365750002 -12,06033957409154
55,350553510000005 -11,996839421596697
54,243542440000006 -11,886517604110386
53,50553506000002 -11,7927638672571
52,49077491250001 -11,730672555540213
51,84501845500001 -11,66890816726842
51,01476015250001 -11,59215979656544
49,63099631500001 -11,425085557917642
48,98523985750001 -11,320021535687168
48,15498155500001 -11,245567851012233
47,509225097500014 -11,142154656887461
46,9557195625 -11,083488935620922
46,217712182500016 -10,996069008296944
45,47970480250002 -10,92374601385505
44,833948345 -10,837586043092802
44,188191887500004 -10,766305417755996
43,72693727500002 -10,667299476311005
43,173431740000005 -10,653230288904263
42,435424360000006 -10,555264175808144
41,97416974750001 -10,472010569250287
41,60516605750001 -10,416873293555044
40,86715867750001 -10,362026326884124
40,03690037500001 -10,266738098289103
39,57564576250001 -10,212681624102713
38,74538746000001 -10,118766755478914
38,099631002500004 -10,038955979331584
37,177121777500005 -9,90733445364169
36,43911439750001 -9,764543085171965
35,33210332750001 -9,661989151887372
34,501845025000016 -9,560512310397083
33,85608856750001 -9,47259473001466
33,21033211000001 -9,360744772180443
32,9335793425 -9,28691281976586
32,380073807500004 -9,225831232906096
31,918819195000005 -9,153063397744383
31,273062737500013 -9,06889267959767
30,442804435000006 -8,985495987532225
29,889298900000007 -8,855990793734376
29,335793365000015 -8,76297910019095
28,59778598500001 -8,670944279290836
27,952029527500002 -8,568560003423054
27,02952030250001 -8,445063979903427
26,29151292250001 -8,3453468404098
25,830258310000005 -8,290458091285075
25,276752775000006 -8,246807135205891
24,815498162500006 -8,192566498288025
24,446494472500007 -8,106522542030525
23,892988937500007 -8,053204580465536
23,431734325000008 -7,98968572252841
22,9704797125 -7,895345572163711
22,23247233250001 -7,791829087760684
21,586715875000003 -7,68966981596415
20,664206650000004 -7,5788409667676575
20,110701115000012 -7,489351965419463
19,280442812500006 -7,361952272860777
18,450184510000007 -7,255846715955487
17,988929897500007 -7,1512704258518465
17,25092251750001 -7,066830067281646
16,789667905 -6,964978016079394
16,42066421500001 -6,882737350283117
16,14391144750001 -6,774591707076199
15,590405912500003 -6,668145312227812
15,313653145000004 -6,589409570515787
15,036900377500004 -6,5116035201546065
14,852398532500004 -6,417753778639785
14,575645765000004 -6,325256664623726
14,298892997500005 -6,2340926831017445
14,114391152500005 -6,1361389288446775
13,929889307500005 -6,071692986331573
13,745387462500005 -5,99208655155619
13,468634695000006 -5,882387931369772
13,284132850000006 -5,820607055991806
