-0.43566792466420345	-5.5825941393045735
-0.4427269300886163	-5.873809238387333
-0.49845029109044425	-6.100270554806491
-0.5521415141670634	-6.508490667372481
-0.6280792997933577	-6.765264774583162
-0.6702194230845642	-6.98464917486422
-0.7526814409970584	-7.279874526425238
-0.7801687803012225	-7.561535788721565
-0.8371755968347614	-7.723243322477121
-0.8888346819861717	-7.93496106360857
-0.9374990375635832	-8.170268525200353
-0.9783557053230787	-8.472570792899468
-1.0151480972321565	-8.670370598959325
-1.1013535271121437	-9.077057379695395
-1.1848850913010667	-9.449067271354783
-1.2528012798541583	-9.8806412071765
-1.3547290399976157	-10.242507519037947
-1.4322711450385457	-10.60637895713852
-1.5392257726812106	-10.970368343841393
-1.6677852351076945	-11.508567816143799
-1.7608357611568124	-11.888598212759696
-1.8276824034334762	-12.243859402892252
-1.967686011017725	-12.730515335988837
-2.074854547915673	-13.178130281723579
-2.248655817835001	-13.47807357737666
-2.475720492320379	-13.50803252236128
-2.688239337446353	-13.390673663071142
-2.9479251733627407	-13.106063685717272
-3.1593744722122867	-12.80093065156292
-3.372214181221188	-12.507238631831825
-3.531469621781116	-12.187951765401273
-3.7684810766372605	-11.843305949475866
-4.010305489737324	-11.41255765387026
-4.209561961035606	-11.028988799185312
-4.375341633881735	-10.725271148258578
-4.5431534446530755	-10.395133010416274
-4.710537436913845	-10.039046180067608
-4.891290757629948	-9.73426699172016
-5.030545682820696	-9.456262136095184
-5.183918618860277	-9.170000878309091
-5.339965420590923	-8.923370350896354
